Name,Price (CHF),Category,SKU,Image URL,Product URL
"223 Remington FMJ 55grs 980m/s; 50 pcs.","33","Ammunition","","https://makaris-prod-public.s3.ewstorage.ch/26197/conversions/.223-FMJ-thumb.jpg?v=1752577473","https://shop.ravenweapon.ch/en/products/223-remington-fmj-55grs-980ms-50-pcs-5497"
"300 AAC Blackout FMC; 147 grs; 580 m/s; 50 pieces","58","Ammunition","","https://makaris-prod-public.s3.ewstorage.ch/26199/conversions/300AAC-thumb.jpg?v=1752577873","https://shop.ravenweapon.ch/en/products/300-aac-blackout-fmc-147-grs-580-ms-50-pieces-5498"
"9mm LUGER FMJ; 8g; 124grs; 50 pieces","19","Ammunition","","https://makaris-prod-public.s3.ewstorage.ch/26201/conversions/9mm-thumb.jpg?v=1752578333","https://shop.ravenweapon.ch/en/products/9mm-luger-fmj-8g-124grs-50-pieces-5499"
".22 LR OFFICIAL 300 LRN; 2.6g; 40grs; 50 pieces","16.5","Ammunition","","https://makaris-prod-public.s3.ewstorage.ch/26194/conversions/22-LR-Official-300-thumb.jpg?v=1752577228","https://shop.ravenweapon.ch/en/products/22-lr-official-300-lrn-26g-40grs-50-pieces-5500"
