Product,B2B EUR,Expected CHF,Current CHF,Difference,Percent,Status,Product ID
"40L insert wall",47.43,76.13,66.05,-10.08,-13.2%,MEDIUM,
"MG Ammunition pouch  -09",45.39,72.85,63.20,-9.65,-13.2%,MEDIUM,
"Single side covert equipment harness -11",44.88,72.03,62.50,-9.53,-13.2%,MEDIUM,
"Covert Telescopic baton wrist holder -08",44.36,71.20,61.80,-9.40,-13.2%,MEDIUM,
"Medium insert pouches",43.85,70.38,61.10,-9.28,-13.2%,MEDIUM,
"Crotch pistol holster 2.0",43.34,69.56,60.35,-9.21,-13.2%,MEDIUM,
"Machine gun sling  -16",40.55,65.08,56.50,-8.58,-13.2%,MEDIUM,
"Light field blanket 1.0",40.28,64.65,56.10,-8.55,-13.2%,MEDIUM,
"Small Insert pouches 2.0",39.77,63.83,55.40,-8.43,-13.2%,MEDIUM,
"Medium Admin pouch -18",39.26,63.01,54.70,-8.31,-13.2%,MEDIUM,
"Covert equipment belt -17",39.26,63.01,54.70,-8.31,-13.2%,MEDIUM,
"Pancake holster -16",38.75,62.19,53.95,-8.24,-13.2%,MEDIUM,
"Zipped dump bag -10",35.18,56.46,49.00,-7.46,-13.2%,MEDIUM,
"Squeeze MOLLE front panel 1.0",35.18,56.46,49.00,-7.46,-13.2%,MEDIUM,
"Rifle sling w attachment -09",34.66,55.63,48.25,-7.38,-13.3%,MEDIUM,
"Large insert pouch 1.0",34.28,55.02,47.75,-7.27,-13.2%,MEDIUM,
"Combat belt harness -14",33.64,53.99,46.85,-7.14,-13.2%,MEDIUM,
"Micro dump pouch 2.0",33.13,53.17,46.15,-7.02,-13.2%,MEDIUM,
"FR Annaclava 1.0",33.13,53.17,46.15,-7.02,-13.2%,MEDIUM,
"Leg attachment light -10",32.45,52.08,45.20,-6.88,-13.2%,MEDIUM,
"Small leg panel -12",32.11,51.54,44.75,-6.79,-13.2%,MEDIUM,
"Small dump pouch 2.0",30.58,49.08,42.60,-6.48,-13.2%,MEDIUM,
"A3 Commander’s aid 1.0",30.07,48.26,41.90,-6.36,-13.2%,MEDIUM,
"1L Kangaroo hydration bladder",29.05,46.63,40.45,-6.18,-13.3%,MEDIUM,
"8×19 pouch -14",29.07,46.66,40.50,-6.16,-13.2%,MEDIUM,
"Rope bag -05",28.59,45.89,39.80,-6.09,-13.3%,MEDIUM,
"Multi insert panel 1.0",28.54,45.81,39.75,-6.06,-13.2%,MEDIUM,
"Trauma shears holder 1.0",28.2,45.26,39.30,-5.96,-13.2%,MEDIUM,
"Oyster pouch 1.0",27.51,44.15,38.30,-5.85,-13.3%,MEDIUM,
"Shoulder pad set -15",27.35,43.90,38.10,-5.80,-13.2%,MEDIUM,
"Basic Equipment belt",25.99,41.71,36.20,-5.51,-13.2%,MEDIUM,
"1L Bottle pouch -18",25.53,40.98,35.55,-5.43,-13.3%,MEDIUM,
"Virve radio pouch -10",24.97,40.08,34.80,-5.28,-13.2%,MEDIUM,
"Trauma pouch -17",23.43,37.61,32.65,-4.96,-13.2%,MEDIUM,
"Small Admin pouch",23.43,37.61,32.65,-4.96,-13.2%,MEDIUM,
"FR Neck gaiter -17",23.43,37.61,32.65,-4.96,-13.2%,MEDIUM,
"Memo board -14",22.92,36.79,31.90,-4.89,-13.3%,MEDIUM,
"SMG Magazine pouch 14",22.92,36.79,31.90,-4.89,-13.3%,MEDIUM,
"FR Beanie",22.92,36.79,31.90,-4.89,-13.3%,MEDIUM,
"Speed magazine pouch 2.0",22.93,36.80,31.95,-4.85,-13.2%,MEDIUM,
"Grenade pouch -10",21.91,35.17,30.50,-4.67,-13.3%,MEDIUM,
"Braces",21.91,35.17,30.50,-4.67,-13.3%,MEDIUM,
"Trauma pouch insert -17",21.39,34.33,29.80,-4.53,-13.2%,MEDIUM,
"Weapon attachment, side -00",21.04,33.77,29.30,-4.47,-13.2%,MEDIUM,
"Elastic insert stripes (6) -10",20.37,32.69,28.40,-4.29,-13.1%,MEDIUM,
"Radio pouch -15",19.35,31.06,26.95,-4.11,-13.2%,MEDIUM,
"Elastic pouch 1.0",19.35,31.06,26.95,-4.11,-13.2%,MEDIUM,
"Wallet",18.84,30.24,26.25,-3.99,-13.2%,MEDIUM,
"Badge holder -16",17.99,28.87,25.05,-3.82,-13.2%,MEDIUM,
"Snigel T-shirt 2.0",17.31,27.78,24.10,-3.68,-13.2%,MEDIUM,
"Police Notebook cover-10",16.29,26.15,22.70,-3.45,-13.2%,MEDIUM,
"Medium Notebook cover",16.29,26.15,22.70,-3.45,-13.2%,MEDIUM,
"Telescopic baton holder -08",16.29,26.15,22.70,-3.45,-13.2%,MEDIUM,
"Large key silencer-05",16.29,26.15,22.70,-3.45,-13.2%,MEDIUM,
"Knee pads 2.0",16.29,26.15,22.70,-3.45,-13.2%,MEDIUM,
"Padded pouch -12",15.78,25.33,22.00,-3.33,-13.1%,MEDIUM,
"Small Notebook cover",15.26,24.49,21.25,-3.24,-13.2%,MEDIUM,
"GP pouch 3 long",14.76,23.69,20.55,-3.14,-13.3%,MEDIUM,
"Rigid trouser belt -05",14.76,23.69,20.55,-3.14,-13.3%,MEDIUM,
"Elastic 40 mm T-bar set -12",14.54,23.34,20.25,-3.09,-13.2%,MEDIUM,
"Mini wallet",14.15,22.71,19.70,-3.01,-13.3%,MEDIUM,
"Regular Key silencer -05",14.24,22.86,19.85,-3.01,-13.2%,MEDIUM,
"Topless Handcuff pouch 06",13.73,22.04,19.15,-2.89,-13.1%,MEDIUM,
"GP pouch 2 long",13.73,22.04,19.15,-2.89,-13.1%,MEDIUM,
"GP pouch 2",13.22,21.22,18.40,-2.82,-13.3%,MEDIUM,
"Restraint sling -06",12.71,20.40,17.70,-2.70,-13.2%,MEDIUM,
"Combination glove holder -09",12.71,20.40,17.70,-2.70,-13.2%,MEDIUM,
"Handcuff pouch -09",12.33,19.79,17.20,-2.59,-13.1%,MEDIUM,
"Elbow pads 2.0",12.2,19.58,17.00,-2.58,-13.2%,MEDIUM,
"GP pouch 3",12.04,19.32,16.75,-2.57,-13.3%,MEDIUM,
"Foldable drinking cup",4.34,6.97,4.50,-2.47,-35.4%,HIGH,
"Elastic trousers belt 1.1",11.69,18.76,16.30,-2.46,-13.1%,MEDIUM,
"Leg strap -11",10.67,17.13,14.85,-2.28,-13.3%,MEDIUM,
"Dual holder insert -12",8.76,14.06,12.20,-1.86,-13.2%,MEDIUM,
"T-bar set -12",8.42,13.51,11.75,-1.76,-13.0%,MEDIUM,
"Modular Key holder -05",8.12,13.03,11.30,-1.73,-13.3%,MEDIUM,
"Belt attachment -11",8.12,13.03,11.30,-1.73,-13.3%,MEDIUM,
"Duffel Strap-12",7.66,12.29,10.65,-1.64,-13.3%,MEDIUM,
"Polis patch, Large -11",7.61,12.21,10.60,-1.61,-13.2%,MEDIUM,
"T-Tape holder 1.0",7,11.24,9.75,-1.49,-13.3%,MEDIUM,
"Binder mechanism",6.58,10.56,9.15,-1.41,-13.4%,MEDIUM,
"Glove holder -05",6.59,10.58,9.20,-1.38,-13.0%,MEDIUM,
"Herma T-bar set 1.0",6.08,9.76,8.45,-1.31,-13.4%,MEDIUM,
"50 mm buckle adapter set",6.27,10.06,8.75,-1.31,-13.0%,MEDIUM,
"Herma I-bar set 1.0",5.56,8.92,7.75,-1.17,-13.1%,MEDIUM,
"I-Bar set -10",5.56,8.92,7.75,-1.17,-13.1%,MEDIUM,
"Name card holder -11",5.56,8.92,7.75,-1.17,-13.1%,MEDIUM,
"Elastic glove holder -05",5.56,8.92,7.75,-1.17,-13.1%,MEDIUM,
"Stort Instruktörsmärke -11",5.05,8.11,7.05,-1.06,-13.1%,MEDIUM,
"Police-Swe patch -12",5.05,8.11,7.05,-1.06,-13.1%,MEDIUM,
"Belt adjuster -09",4.54,7.29,6.30,-0.99,-13.6%,MEDIUM,
"Weapon hook -10",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Sniper patch, Small -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Förhandlar patch -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Tekniker patch, small -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Instructor patch, Small -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Small instruktors patch -11",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Polis patch, Small -11",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Medic patch w Velcro",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Fin patch, Small -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Dog patch -12",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"HUNDFÖRARE, Dog handler patch, small",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Small blank patch-13",4.03,6.47,5.60,-0.87,-13.4%,MEDIUM,
"Swedish flag -16",3.98,6.39,5.55,-0.84,-13.1%,MEDIUM,
"Swe patch, Small -12",3.98,6.39,5.55,-0.84,-13.1%,MEDIUM,
"SNIGEL patch w Velcro",3.98,6.39,5.55,-0.84,-13.1%,MEDIUM,
"Blue and yellow patch -16",3.52,5.65,4.90,-0.75,-13.3%,MEDIUM,
"Medic patch, small -16",3.01,4.83,4.20,-0.63,-13.0%,MEDIUM,
"Plastic bag, ziplock A6 -09, 10 pack",3.52,5.65,5.05,-0.60,-10.6%,MEDIUM,
"K9 patch, Small -12",2.45,3.93,3.40,-0.53,-13.5%,MEDIUM,
"Cross patch, Small -12",2.3,3.69,3.20,-0.49,-13.3%,MEDIUM,
"Herma 25 mm buckle",1.41,2.26,1.95,-0.31,-13.7%,MEDIUM,
"Herma 25 mm repair buckle",0.92,1.48,1.30,-0.18,-12.2%,MEDIUM,
