Product,B2B EUR,Expected CHF,Current CHF,Difference,Percent,Status,Product ID
"Tactical coverall BG -10F",955.89,1534.20,221.50,-1312.70,-85.6%,CRITICAL,
"34×100 cm dual Weapon bag -11",335.7,538.80,68.20,-470.60,-87.3%,CRITICAL,
"Flight suit other -09",309.79,497.21,46.15,-451.06,-90.7%,CRITICAL,
"Fleece jacket 1.0",95.93,153.97,598.50,444.53,288.7%,CRITICAL,
"34×64 cm dual Weapon bag -11",48.95,78.56,467.55,388.99,495.2%,CRITICAL,
"Flight suit, Pilot -09",200.23,321.37,32.65,-288.72,-89.8%,CRITICAL,
"Belt closure pack  (5) -11",30.22,48.50,184.00,135.50,279.4%,CRITICAL,
"Covert backpack -21",636.13,1020.99,886.00,-134.99,-13.2%,MEDIUM,
"Ballistic thigh protection -15",512.42,822.43,713.70,-108.73,-13.2%,MEDIUM,
"230 Roller bag -15",494.04,792.93,688.10,-104.83,-13.2%,MEDIUM,
"100L Backpack 2.0",430.84,691.50,600.05,-91.45,-13.2%,MEDIUM,
"Tactical coverall, Digi  -09F",429.71,689.68,598.50,-91.18,-13.2%,MEDIUM,
"Hypothermal bag 1.1",335.07,537.79,466.70,-71.09,-13.2%,MEDIUM,
"Plate carrier, Strap on DF -13",333.33,534.99,464.25,-70.74,-13.2%,MEDIUM,
"Plate carrier, Strap on -14",318.01,510.41,442.90,-67.51,-13.2%,MEDIUM,
"30×61 cm Weapon bag -13",309.55,496.83,431.15,-65.68,-13.2%,MEDIUM,
"40L protective insert",298.75,479.49,416.10,-63.39,-13.2%,MEDIUM,
"50L Mission backpack 2.0",244.49,392.41,340.50,-51.91,-13.2%,MEDIUM,
"Tactical coverall 09F Briefs",51.19,82.16,133.60,51.44,62.6%,CRITICAL,
"30L protective insert 1.1",227.55,365.22,316.95,-48.27,-13.2%,MEDIUM,
"Ribs Chest rig 1.0",218.36,350.47,304.10,-46.37,-13.2%,MEDIUM,
"Squeeze vest/plate carrier",216.92,348.16,302.10,-46.06,-13.2%,MEDIUM,
"Organized bag -11",211.31,339.15,294.30,-44.85,-13.2%,MEDIUM,
"40L Specialist backpack",209.27,335.88,291.45,-44.43,-13.2%,MEDIUM,
"XL Snipers support bag -03",200.84,322.35,279.70,-42.65,-13.2%,MEDIUM,
"30-40L Combat backpack 1.0",199.57,320.31,277.95,-42.36,-13.2%,MEDIUM,
"Medium Schwung bag 1.1",196.5,315.38,273.70,-41.68,-13.2%,MEDIUM,
"Squeeze ballistic front and back 1.3 S2",191.4,307.20,266.55,-40.65,-13.2%,MEDIUM,
"Spotting Scope cover",173.58,278.60,241.75,-36.85,-13.2%,MEDIUM,
"Dual Magazine pouch -18",33.64,53.99,17.70,-36.29,-67.2%,CRITICAL,
"Covert equipment vest -12",163.32,262.13,227.45,-34.68,-13.2%,MEDIUM,
"30L Specialist backpack",160.76,258.02,223.90,-34.12,-13.2%,MEDIUM,
"Multi-tarp 1.0",160.39,257.43,223.40,-34.03,-13.2%,MEDIUM,
"Tactical coverall 09F",159.05,255.28,221.50,-33.78,-13.2%,MEDIUM,
"10L Multi-purpose bag",146.47,235.08,204.00,-31.08,-13.2%,MEDIUM,
"30L Mission backpack 1.1",135.24,217.06,188.35,-28.71,-13.2%,MEDIUM,
"Squeeze side panel pouch set -18",133.71,214.60,186.25,-28.35,-13.2%,MEDIUM,
"Backpack belt-12",132.12,212.05,184.00,-28.05,-13.2%,MEDIUM,
"Covert surveillance vest -05",129.62,208.04,180.55,-27.49,-13.2%,MEDIUM,
"90L Duffel bag 1.0",122.48,196.58,170.60,-25.98,-13.2%,MEDIUM,
"Sleeping bag cover with hood 2.0",120.43,193.29,167.75,-25.54,-13.2%,MEDIUM,
"Equipment vest -16",119.41,191.65,166.30,-25.35,-13.2%,MEDIUM,
"Technical equipment vest 2.0",119.41,191.65,166.30,-25.35,-13.2%,MEDIUM,
"Back holder 2.0",114.31,183.47,159.20,-24.27,-13.2%,MEDIUM,
"Covert equipment vest -12 FIN",127.07,203.95,227.45,23.50,11.5%,MEDIUM,
"15-20L All pack",107.11,171.91,149.20,-22.71,-13.2%,MEDIUM,
"Shotgun holder 1.0",105.59,169.47,147.05,-22.42,-13.2%,MEDIUM,
"Ribs combat belt 1.0",103.58,166.25,144.25,-22.00,-13.2%,MEDIUM,
"Featherweight stretcher -09",122.99,197.40,175.70,-21.70,-11.0%,MEDIUM,
"30L Waterproof mission backpack 1.0",97.48,156.46,135.75,-20.71,-13.2%,MEDIUM,
"40L Velcro and webbing  panel -10",91.12,146.25,126.90,-19.35,-13.2%,MEDIUM,
"55L Duffel bag -17",90.82,145.77,126.50,-19.27,-13.2%,MEDIUM,
"3L Multipurpose bag -15",85.72,137.58,119.40,-18.18,-13.2%,MEDIUM,
"Comfort belt-13",78.06,125.29,108.70,-16.59,-13.2%,MEDIUM,
"Covert elastic equipment belt 2.0",76.02,122.01,105.90,-16.11,-13.2%,MEDIUM,
"Light combat belt 1.0",75.51,121.19,105.15,-16.04,-13.2%,MEDIUM,
"Covert stretch vest -16",73.46,117.90,102.30,-15.60,-13.2%,MEDIUM,
"VIRVE pouch, Basic-11",73.45,117.89,102.30,-15.59,-13.2%,MEDIUM,
"Side pockets pair 2.0",72.44,116.27,100.90,-15.37,-13.2%,MEDIUM,
"Weapon sling system 1.0",68.87,110.54,95.90,-14.64,-13.2%,MEDIUM,
"3 row cummerbund 1.0",68.87,110.54,95.90,-14.64,-13.2%,MEDIUM,
"Dual side covert equipment harness -11",67.85,108.90,94.50,-14.40,-13.2%,MEDIUM,
"2,5L hydration cover -16",67.09,107.68,93.45,-14.23,-13.2%,MEDIUM,
"Admin case",65.3,104.81,90.95,-13.86,-13.2%,MEDIUM,
"Squeeze quick adjust -17",63.77,102.35,88.80,-13.55,-13.2%,MEDIUM,
"Carrier pouch -16",62.74,100.70,87.40,-13.30,-13.2%,MEDIUM,
"30L insert wall -10",61.97,99.46,86.30,-13.16,-13.2%,MEDIUM,
"15L Princess backpack  -17",61.72,99.06,85.95,-13.11,-13.2%,MEDIUM,
"Equipment belt harness -10",30.58,49.08,36.20,-12.88,-26.2%,HIGH,
"Police Equipment belt -09",60.7,97.42,84.55,-12.87,-13.2%,MEDIUM,
"Low profile 3L hydration bladder",58.6,94.05,81.60,-12.45,-13.2%,MEDIUM,
"6L Funny pack",58.15,93.33,81.00,-12.33,-13.2%,MEDIUM,
"Large hammer holder -14",57.73,92.66,80.40,-12.26,-13.2%,MEDIUM,
"Squeeze buckle closure 1.0",57.64,92.51,80.30,-12.21,-13.2%,MEDIUM,
"Squeeze zipper closure -17",57.64,92.51,80.30,-12.21,-13.2%,MEDIUM,
"Elastic cumber band w compartments 1.0",57.64,92.51,80.30,-12.21,-13.2%,MEDIUM,
"Gas mask bag -11",52.03,83.51,72.45,-11.06,-13.2%,MEDIUM,
"Dry bag set 1.0",52.02,83.49,72.45,-11.04,-13.2%,MEDIUM,
"A5 Field binder",51.51,82.67,71.75,-10.92,-13.2%,MEDIUM,
"Double handcuff pouch -11",48.73,78.21,67.85,-10.36,-13.2%,MEDIUM,
"Canister pouch -15",48.7,78.16,67.85,-10.31,-13.2%,MEDIUM,
