name;slug;article_no;ean;price;price_numeric;currency;weight;weight_g;dimensions;short_description;description;categories;colours;images;url
"Police Notebook cover-10";police-notebook-cover-10;;;;0;EUR;;0;;"This is a light weight, flexible and durable protection for your notebook and at the same time it gives easy and quiet access to essential information.";"• Attachment for two pens on the inside
• Fits the police note book top hanged or side attached
• The cover is made of plastic and can withstand exposure to moisture and is very hard wearing
• It is closed with an elastic strap which will last longer than Velcro and is silent to use
• On the outside and the inside there is a tablet that you can write on with a pencil
• Wipe it clean with a wet finger when you don’t need the information any more or want to write something else
• Totally damp proof
• On the back there is a little window pocket for a memory card or a small map
• The folder has two loops to attach string. With the string attached you can carry the folder around your neck";"Police gear, Admin products, Miscellaneous products";Black;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_4.jpg";https://products.snigel.se/product/police-notebook-cover-10/
"Medium Notebook cover";medium-notebook-cover-07;;;;0;EUR;;0;;"This is a light weight, flexible and durable protection for your notebook and at the same time it gives easy and quiet access to essential information";;"Admin products, Multicam, Miscellaneous products";"Black, Grey, Multicam, Olive";"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0599.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0610.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_12.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_13.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_14.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0607.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0606.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0609-2.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00490-01_1556.jpg";https://products.snigel.se/product/medium-notebook-cover-07/
"Small Notebook cover";small-notebook-cover-07;;;;0;EUR;;0;;"This is a light weight, flexible and durable protection for your notebook and at the same time it gives easy and quiet access to essential information";"• Attachment for a pen on the inside
• Fits smaller sized note books
• The cover is made of plastic and can withstand exposure to moisture and is very hard wearing
• It is closed with an elastic strap which will last longer than Velcro and is silent
• On the outside and the inside there is a tablet that you can write on with a pencil
• Here you can write the information that you need close to hand
• Wipe it clean with a wet finger when you don’t need the information any more or want to write something else
• On the back there is a little window pocket for a memory card or a small map
• The folder has two loops to attach string. With the string attached you can carry the folder around your nec";"Admin products, Miscellaneous products";"Black, Grey";"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B01-011_0645.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_13.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-011_14.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B01-011_0642.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B01-011_0641.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B01-012_0598.jpg";https://products.snigel.se/product/small-notebook-cover-07/
"Memo board -14";memo-board-14;;;;0;EUR;;0;;"End users can purchase individual pieces from our retail partners.";"• It’s made to fit around your forearm for easy access to the three clear-view windows.
• There is a  stiff plastic writing board for rain proof writing on top of the clear windows. Rub the board with your finger when you want to write new notes with your pencil.
• The memo board is attached with 2 elastic straps around your forearm.
• The window/board part can be removed from the wrist holder and be attached directly on our jackets.";"Admin products, Miscellaneous products";Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2019/12/E-SK-Hoor-00094.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00411-09_1590.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/04/EF-SWECam-19_3219.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-Sk-20-4552.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_6.jpg, https://products.snigel.se/wp-content/uploads/2019/12/E-SC-Hoor0953.jpg, https://products.snigel.se/wp-content/uploads/2019/12/E-SK-Hoor-00097.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_12.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_13.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_14.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00411-09-000_15.jpg, https://products.snigel.se/wp-content/uploads/2020/04/EF-SWECam-19_3168.jpg";https://products.snigel.se/product/memo-board-14/
"Badge holder -16";badge-holder-16;;;;0;EUR;;0;;"End users can purchase individual pieces from our retail partners.";;"Tactical gear, Admin products, Miscellaneous products";Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/52-01347-09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01347-09-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01347-09-000_2.jpg";https://products.snigel.se/product/badge-holder-16/
Wallet;wallet-10;;;;0;EUR;;0;;"End users can purchase individual pieces from our retail partners.";;"Admin products, Miscellaneous products";"Black, Grey";"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00563-09_1549.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00563-01_1551.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00563-01-000_12.jpg";https://products.snigel.se/product/wallet-10/
"Mini wallet";mini-wallet-15;;;;0;EUR;;0;;"End users can purchase individual pieces from our retail partners.";"• Velcro closure.
• Inside compartments for credit cards and drivers license.
• Zipped outside compartment for coins.
• Holder for a neck string.";"Admin products, Miscellaneous products, ALL PRODUCTS";Black;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00090-01_1569.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00090-01_2934.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00090-01_2932.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00090-01-000_13.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00090-01_1572.jpg";https://products.snigel.se/product/mini-wallet-15/
"Spotting Scope cover";spotting-scope-cover;;;;0;EUR;;0;;"Camouflages and protects the Swarovski …. straight, spotting scope";;;Various;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/40-01416-09-000_12.jpg";https://products.snigel.se/product/spotting-scope-cover/
"XL Snipers support bag -03";xl-snipers-support-bag-03;;;;0;EUR;;0;;"A light weight, safe, supporting pillow that will help your aim in a helicopter sniper position or other moving platform. Can also be used in a building.";;;Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/33-00652-09-000_7.jpg";https://products.snigel.se/product/xl-snipers-support-bag-03/
"Low profile 3L hydration bladder";source-low-profile-3l-hydration-bladder;;;;0;EUR;;0;;;"• Hi-Flow Storm-Valve: No-bite push-pull valve with integrated shut-off mechanism; easy disassembly for cleaning
• Low Profile: Maximum utilization of low profile technology reduces the depth of the carrier
• Horizontal bladder connector allows drinking tube to be routed out of the ballistic plate pouch, without kinking the tube
• Angled Valve: Turns 360 degrees for perfect valve/mouth orientation; allows the tube to be 25cm shorter; less excess tube bouncing around the chest
• Dirt shield valve cover to protect mouthpiece from dirt
• Cool Weave Cover Tube: Insulates and blocks UV-light; water stays cool and inhibits bacteria growth
• Taste-Free System: Co-extruded PE film retains pure liquid taste without plastic flavor; BPA and phthalate free
• Glass-Like Film with Grunge-Guard Technology: Inhibits bacteria growth on reservoir and drinking tube surfaces
• Care-Free: cleaning by simply rinsing the system and hanging it opened until dry (if used with water)
• Widepac Closure: Patented slide closure for easy draining and cleaning; airtight seal
• QMT Tube/Reservoir connector with shut-off allows quick and leak-free removal of the bladder for refilling";;Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/46-00585-09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/46-00585-09-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/46-00585-09-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/46-00585-09-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/46-00585-09-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/04/VP2L-11G_0775.jpg, https://products.snigel.se/wp-content/uploads/2020/04/VP2L-11G_0774.jpg, https://products.snigel.se/wp-content/uploads/2020/04/VP2L-11G_0773.jpg, https://products.snigel.se/wp-content/uploads/2020/04/VP2L-11C-12393.jpg";https://products.snigel.se/product/source-low-profile-3l-hydration-bladder/
